		
id	name	airQ
-1	Northern Cyprus	
-2	Kosovo	
-3	Somaliland	
4	Afghanistan	181
8	Albania	
10	Antarctica	34
12	Algeria	
16	American Samoa	
20	Andorra	31
24	Angola	
28	Antigua and Barbuda	
31	Azerbaijan	
32	Argentina	35
36	Australia	15
40	Austria	17
44	Bahamas	
48	Bahrain	
50	Bangladesh	173
51	Armenia	84
52	Barbados	
56	Belgium	24
60	Bermuda	
64	Bhutan	
68	Bolivia, Plurinational State of	
70	Bosnia and Herzegovina	56
72	Botswana	
74	Bouvet Island	
76	Brazil	32
84	Belize	
86	British Indian Ocean Territory	
90	Solomon Islands	
92	Virgin Islands, British	
96	Brunei Darussalam	
100	Bulgaria	31
104	Myanmar	
108	Burundi	
112	Belarus	
116	Cambodia	
120	Cameroon	
124	Canada	20
132	Cape Verde	
136	Cayman Islands	
140	Central African Republic	
144	Sri Lanka	
148	Chad	147
152	Chile	46
156	China	74
158	Taiwan, Province of China	40
162	Christmas Island	
166	Cocos (Keeling) Islands	
170	Colombia	
174	Comoros	
175	Mayotte	
178	Congo	
180	Congo, the Democratic Republic of the	
184	Cook Islands	
188	Costa Rica	14
191	Croatia	28
192	Cuba	
196	Cyprus	32
203	Czech Republic	32
204	Benin	
208	Denmark	27
212	Dominica	
214	Dominican Republic	
218	Ecuador	30
222	El Salvador	
226	Equatorial Guinea	
231	Ethiopia	40
232	Eritrea	
233	Estonia	26
234	Faroe Islands	
238	Falkland Islands (Malvinas)	
239	South Georgia and the South Sandwich Islands	
242	Fiji	
246	Finland	13
248	Åland Islands	
250	France	28
254	French Guiana	24
258	French Polynesia	
260	French Southern Territories	
262	Djibouti	
266	Gabon	
268	Georgia	51
270	Gambia	
275	Palestinian Territory, Occupied	
276	Germany	24
288	Ghana	43
292	Gibraltar	5
296	Kiribati	
300	Greece	63
304	Greenland	
308	Grenada	
312	Guadeloupe	33
316	Guam	
320	Guatemala	27
324	Guinea	24
328	Guyana	
332	Haiti	
334	Heard Island and McDonald Islands	
336	Holy See (Vatican City State)	
340	Honduras	
344	Hong Kong	33
348	Hungary	36
352	Iceland	14
356	India	88
360	Indonesia	37
364	Iran, Islamic Republic of	68
368	Iraq	36
372	Ireland	19
376	Israel	50
380	Italy	26
384	Côte d'Ivoire	49
388	Jamaica	
392	Japan	28
398	Kazakhstan	60
400	Jordan	34
404	Kenya	
408	Korea, Democratic People's Republic of	45
410	Korea, Republic of	55
414	Kuwait	73
417	Kyrgyzstan	61
418	Lao People's Democratic Republic	48
422	Lebanon	
426	Lesotho	
428	Latvia	
430	Liberia	
434	Libya	
438	Liechtenstein	21
440	Lithuania	26
442	Luxembourg	28
446	Macao	55
450	Madagascar	
454	Malawi	
458	Malaysia	20
462	Maldives	
466	Mali	84
470	Malta	41
474	Martinique	31
478	Mauritania	
480	Mauritius	
484	Mexico	51
492	Monaco	24
496	Mongolia	107
498	Moldova, Republic of	32
499	Montenegro	26
500	Montserrat	
504	Morocco	
508	Mozambique	
512	Oman	
516	Namibia	
520	Nauru	
524	Nepal	
528	Netherlands	26
531	Curaçao	
533	Aruba	
534	Sint Maarten (Dutch part)	
535	Bonaire, Sint Eustatius and Saba	
540	New Caledonia	19
548	Vanuatu	
554	New Zealand	28
558	Nicaragua	
562	Niger	
566	Nigeria	
570	Niue	
574	Norfolk Island	
578	Norway	15
580	Northern Mariana Islands	
581	United States Minor Outlying Islands	24
583	Micronesia, Federated States of	
584	Marshall Islands	
585	Palau	
586	Pakistan	116
591	Panama	
598	Papua New Guinea	
600	Paraguay	
604	Peru	
608	Philippines	
612	Pitcairn	
616	Poland	36
620	Portugal	30
624	Guinea-Bissau	
626	Timor-Leste	
630	Puerto Rico	
634	Qatar	
638	Réunion	20
642	Romania	24
643	Russian Federation	27
646	Rwanda	
652	Saint Barthélemy	
654	Saint Helena, Ascension and Tristan da Cunha	
659	Saint Kitts and Nevis	
660	Anguilla	
662	Saint Lucia	
663	Saint Martin (French part)	
666	Saint Pierre and Miquelon	
670	Saint Vincent and the Grenadines	
674	San Marino	
678	Sao Tome and Principe	
682	Saudi Arabia	43
686	Senegal	
688	Serbia	47
690	Seychelles	
694	Sierra Leone	
702	Singapore	32
703	Slovakia	23
704	Viet Nam	45
705	Slovenia	
706	Somalia	
710	South Africa	46
716	Zimbabwe	
724	Spain	32
728	South Sudan	
729	Sudan	76
732	Western Sahara	
740	Suriname	
744	Svalbard and Jan Mayen	
748	Swaziland	
752	Sweden	19
756	Switzerland	25
760	Syrian Arab Republic	
762	Tajikistan	116
764	Thailand	46
768	Togo	
772	Tokelau	
776	Tonga	
780	Trinidad and Tobago	32
784	United Arab Emirates	95
788	Tunisia	
792	Turkey	54
795	Turkmenistan	36
796	Turks and Caicos Islands	
798	Tuvalu	
800	Uganda	107
804	Ukraine	22
807	Macedonia, the former Yugoslav Republic of	55
818	Egypt	
826	United Kingdom	23
831	Guernsey	
832	Jersey	18
833	Isle of Man	
834	Tanzania, United Republic of	
840	United States	24
850	Virgin Islands, U.S.	
854	Burkina Faso	
858	Uruguay	
860	Uzbekistan	90
862	Venezuela, Bolivarian Republic of	
876	Wallis and Futuna	
882	Samoa	
887	Yemen	
894	Zambia	